Timestamp,Potentiometer,Button,Light
2026-08-11 17:14:34.607,645,0,41
2026-08-11 17:14:34.607,645,0,41
2026-08-11 17:14:34.607,645,0,41
2026-08-11 17:14:34.607,645,0,41
2026-08-11 17:14:34.607,645,0,41
2026-08-11 17:14:34.607,645,0,40
2026-08-11 17:14:34.607,645,0,40
2026-08-11 17:14:34.607,645,0,41
2026-08-11 17:14:34.607,645,0,41
2026-08-11 17:14:34.607,645,0,41
2026-08-11 17:14:34.607,645,0,41
2026-08-11 17:14:34.607,645,0,41
2026-08-11 17:14:34.763,645,0,41
2026-08-11 17:14:34.964,645,0,41
2026-08-11 17:14:35.169,645,0,40
2026-08-11 17:14:35.370,645,0,41
2026-08-11 17:14:35.570,645,0,40
2026-08-11 17:14:35.771,645,0,41
2026-08-11 17:14:35.972,645,0,41
2026-08-11 17:14:36.172,645,0,41
2026-08-11 17:14:36.373,645,0,41
2026-08-11 17:14:36.574,645,0,41
2026-08-11 17:14:36.775,645,0,41
2026-08-11 17:14:36.975,645,0,40
2026-08-11 17:14:37.176,645,0,40
2026-08-11 17:14:37.377,645,0,40
2026-08-11 17:14:37.577,645,0,41
2026-08-11 17:14:37.778,645,0,41
2026-08-11 17:14:37.979,645,0,41
2026-08-11 17:14:38.179,645,0,41
2026-08-11 17:14:38.380,645,0,41
2026-08-11 17:14:38.581,645,0,41
2026-08-11 17:14:38.782,645,0,40
2026-08-11 17:14:38.982,645,0,40
2026-08-11 17:14:39.183,645,0,40
