Timestamp,Potentiometer,Button,Light
2026-08-11 15:07:12.478,381,0,67
2026-08-11 15:07:12.478,381,0,68
2026-08-11 15:07:12.479,381,0,68
2026-08-11 15:07:12.479,381,0,66
2026-08-11 15:07:12.479,381,0,66
2026-08-11 15:07:12.480,381,0,65
2026-08-11 15:07:12.480,381,0,66
2026-08-11 15:07:12.480,381,0,66
2026-08-11 15:07:12.480,381,0,67
2026-08-11 15:07:12.481,381,0,68
2026-08-11 15:07:12.481,381,0,68
2026-08-11 15:07:14.334,381,0,68
2026-08-11 15:07:14.535,382,0,68
2026-08-11 15:07:14.735,381,0,68
2026-08-11 15:07:14.936,381,0,67
2026-08-11 15:07:15.137,381,0,67
2026-08-11 15:07:15.338,382,0,66
2026-08-11 15:07:15.538,382,0,66
2026-08-11 15:07:15.743,381,0,66
2026-08-11 15:07:15.944,382,0,67
2026-08-11 15:07:16.144,381,0,67
2026-08-11 15:07:16.345,382,0,71
2026-08-11 15:07:16.546,381,0,70
2026-08-11 15:07:16.746,382,0,70
2026-08-11 15:07:16.947,382,0,69
2026-08-11 15:07:17.148,382,0,68
2026-08-11 15:07:17.348,385,1,67
2026-08-11 15:07:17.549,388,0,67
2026-08-11 15:07:17.750,393,1,66
2026-08-11 15:07:17.951,370,0,65
2026-08-11 15:07:18.151,370,0,64
2026-08-11 15:07:18.352,366,0,66
2026-08-11 15:07:18.553,368,1,68
2026-08-11 15:07:18.753,371,0,70
2026-08-11 15:07:18.954,372,0,70
2026-08-11 15:07:19.155,372,0,70
2026-08-11 15:07:19.355,372,0,31
2026-08-11 15:07:19.556,372,0,21
2026-08-11 15:07:19.757,372,0,20
2026-08-11 15:07:19.962,371,0,19
2026-08-11 15:07:20.162,371,0,62
2026-08-11 15:07:20.359,371,0,62
2026-08-11 15:07:20.564,371,0,63
2026-08-11 15:07:20.764,370,0,63
2026-08-11 15:07:20.965,369,0,62
2026-08-11 15:07:21.166,369,0,60
2026-08-11 15:07:21.366,369,0,58
2026-08-11 15:07:21.567,519,0,57
2026-08-11 15:07:21.768,563,0,56
2026-08-11 15:07:21.969,571,0,56
2026-08-11 15:07:22.169,355,0,56
2026-08-11 15:07:22.370,366,0,56
2026-08-11 15:07:22.571,348,0,58
2026-08-11 15:07:22.771,232,0,55
2026-08-11 15:07:22.972,170,0,54
2026-08-11 15:07:23.173,125,0,53
2026-08-11 15:07:23.373,88,0,52
2026-08-11 15:07:23.574,32,0,52
2026-08-11 15:07:23.775,5,0,51
2026-08-11 15:07:23.975,5,0,51
2026-08-11 15:07:24.176,84,0,52
2026-08-11 15:07:24.377,171,0,53
2026-08-11 15:07:24.578,232,0,53
2026-08-11 15:07:24.782,297,0,54
2026-08-11 15:07:24.979,311,0,54
2026-08-11 15:07:25.180,298,0,55
2026-08-11 15:07:25.384,298,0,54
2026-08-11 15:07:25.585,298,0,54
2026-08-11 15:07:25.786,299,0,52
2026-08-11 15:07:25.987,299,0,54
2026-08-11 15:07:26.187,299,0,54
2026-08-11 15:07:26.388,299,0,53
2026-08-11 15:07:26.589,300,0,52
2026-08-11 15:07:26.789,300,0,53
2026-08-11 15:07:26.990,300,0,54
2026-08-11 15:07:27.191,300,0,53
2026-08-11 15:07:27.392,300,0,54
2026-08-11 15:07:27.592,300,0,54
2026-08-11 15:07:27.793,300,0,54
2026-08-11 15:07:27.994,300,0,54
2026-08-11 15:07:28.194,300,0,54
2026-08-11 15:07:28.395,300,0,55
2026-08-11 15:07:28.596,300,0,56
2026-08-11 15:07:28.796,300,0,57
2026-08-11 15:07:28.997,300,0,58
2026-08-11 15:07:29.198,300,0,58
