Timestamp,Potentiometer,Button,Light
2026-08-11 14:56:06.201,552,0,56
2026-08-11 14:56:06.202,552,0,56
2026-08-11 14:56:06.202,552,0,56
2026-08-11 14:56:06.203,552,0,56
2026-08-11 14:56:06.203,552,0,55
2026-08-11 14:56:06.204,552,0,55
2026-08-11 14:56:06.204,552,0,55
2026-08-11 14:56:06.204,552,0,55
2026-08-11 14:56:06.205,552,0,56
2026-08-11 14:56:06.208,552,0,56
2026-08-11 14:56:06.210,552,0,56
2026-08-11 14:56:06.212,552,0,56
2026-08-11 14:56:06.213,552,0,55
2026-08-11 14:56:06.213,552,0,55
2026-08-11 14:56:06.214,552,0,55
2026-08-11 14:56:06.214,552,0,55
2026-08-11 14:56:08.056,552,0,56
2026-08-11 14:56:08.257,552,0,56
2026-08-11 14:56:08.457,552,0,55
2026-08-11 14:56:08.662,552,0,56
2026-08-11 14:56:08.859,552,0,56
2026-08-11 14:56:09.060,552,0,56
2026-08-11 14:56:09.264,552,0,57
2026-08-11 14:56:09.465,552,0,57
2026-08-11 14:56:09.666,552,0,57
2026-08-11 14:56:09.866,552,0,57
2026-08-11 14:56:10.067,552,0,55
2026-08-11 14:56:10.268,552,0,50
2026-08-11 14:56:10.469,552,0,19
2026-08-11 14:56:10.669,552,0,17
2026-08-11 14:56:10.870,552,0,17
2026-08-11 14:56:11.071,552,0,17
2026-08-11 14:56:11.271,552,0,17
2026-08-11 14:56:11.472,552,0,16
2026-08-11 14:56:11.673,552,0,38
2026-08-11 14:56:11.873,552,0,58
2026-08-11 14:56:12.074,552,0,58
2026-08-11 14:56:12.275,552,0,58
2026-08-11 14:56:12.476,552,0,58
2026-08-11 14:56:12.676,552,0,59
2026-08-11 14:56:12.877,552,0,60
2026-08-11 14:56:13.078,552,0,60
2026-08-11 14:56:13.278,552,1,59
2026-08-11 14:56:13.483,552,0,58
2026-08-11 14:56:13.684,552,0,57
2026-08-11 14:56:13.884,552,0,57
2026-08-11 14:56:14.085,552,0,57
2026-08-11 14:56:14.286,552,0,57
2026-08-11 14:56:14.487,552,0,57
2026-08-11 14:56:14.687,552,0,57
2026-08-11 14:56:14.888,552,0,58
2026-08-11 14:56:15.089,552,0,58
2026-08-11 14:56:15.289,552,0,58
2026-08-11 14:56:15.490,552,0,58
2026-08-11 14:56:15.691,552,0,58
2026-08-11 14:56:15.891,552,0,57
2026-08-11 14:56:16.092,479,0,57
2026-08-11 14:56:16.293,440,0,58
2026-08-11 14:56:16.493,417,0,59
2026-08-11 14:56:16.694,390,0,60
2026-08-11 14:56:16.895,390,0,60
2026-08-11 14:56:17.096,370,0,55
2026-08-11 14:56:17.296,378,0,55
2026-08-11 14:56:17.497,368,0,58
2026-08-11 14:56:17.698,368,0,57
2026-08-11 14:56:17.902,376,0,57
2026-08-11 14:56:18.103,374,0,57
2026-08-11 14:56:18.304,362,0,58
2026-08-11 14:56:18.504,359,0,60
2026-08-11 14:56:18.705,364,0,60
